,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
125,ION Energy,"Mumbai, Maharashtra, India","Energy, Energy Storage, Infrastructure",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Undisclosed,1041000.0,Venture - Series Unknown,2018
126,UnoTag,"Bangalore, Karnataka, India",Artificial Intelligence,SaaS to verify counterfeit,Undisclosed,100000.0,Pre-Seed,2018
127,CivilCops,"Gurgaon, Haryana, India","Government, Information Technology, Software",Gov-Tech,Undisclosed,100000.0,Pre-Seed,2018
128,Rockmetric,"Mumbai, Maharashtra, India",Information Technology,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",Undisclosed,1140351.0,Grant,2018
129,Classworks India,"Chennai, Tamil Nadu, India","Education, Information Technology, Internet, Mobile, Software","Saas, Web App, Mobile App, School Education",Undisclosed,1462.0,Undisclosed,2018
130,Snapmint,"Mumbai, Maharashtra, India","Consumer Lending, Financial Services, Lending, Personal Finance","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",Undisclosed,1140351.0,Seed,2018
131,artbandhu,"Bangalore, Karnataka, India","Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Ai platform for Art and Creative Community,Undisclosed,15000.0,Pre-Seed,2018
132,Avishkaar Box,"Delhi, Delhi, India","Children, Education, Parenting","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",Undisclosed,730994.0,Seed,2018
133,Gegadyne Energy,"Mumbai, Maharashtra, India","Automotive, Battery, Energy, Energy Storage",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,Undisclosed,1140351.0,Angel,2018
134,Deftouch,"Bangalore, Karnataka, India",—,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,Undisclosed,1140351.0,Seed,2018
135,FastFox,"Gurgaon, Haryana, India",Rental,FastFox: Market Network for Home Rentals (India),Undisclosed,1461988.0,Series A,2018
136,Corefactors,"Bangalore, Karnataka, India",—,"Corefactors is a leading campaign management, business communication and analytics company.",Undisclosed,1140351.0,Seed,2018
137,PetSutra,"Gurgaon, Haryana, India",Veterinary,Gurugram-based Online petcare platform.,Undisclosed,138889.0,Seed,2018
138,Awaaz De,"Ahmedabad, Gujarat, India","Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,Undisclosed,1140351.0,Angel,2018
139,Aviom India Housing Finance,"New Delhi, Delhi, India",Finance,Delhi based housing finance company.,Undisclosed,2192982.0,Series A,2018
140,GenRobotic,"Trivandrum, Kerala, India",Market Research,A Robotic Company.,Undisclosed,1140351.0,Seed,2018
141,SectorQube,"Ernakulam, Kerala, India","Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",SectorQube develops smart kitchen devices that make food automatically.,Undisclosed,1140351.0,Seed,2018
142,Food Memories,"Ahmedabad, Gujarat, India","Food and Beverage, Food Processing",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,Undisclosed,1140351.0,Seed,2018
143,ZAMROO,"India, Asia","Internet, Marketplace, Shopping",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,Undisclosed,1140351.0,Seed,2018
144,Creator’s Gurukul,"Gurgaon, Haryana, India",Facilities Support Services,A coworking space provider.,Undisclosed,1140351.0,Angel,2018
